index,question,table,Sentence,question_index
0,"In which awards ceremony was ""Azonto"" nominated for the Most Gifted Male Video award?","Year,Awards ceremony,Award description(s),Results
2013,The Headies,Best Music Video,Nominated
2013,Channel O Music Video Awards,Most Gifted Video of the Year,Won
2013,Channel O Music Video Awards,Most Gifted Male Video,Nominated
2013,4Syte TV Music Video Awards,Best African Act Video,Nominated","The song ""Azonto"" by Wizkid was nominated for the Most Gifted Male Video award at the 2013 Channel O Music Video Awards, according to the provided table.",0
1,What was the final score of the match between Real Betis and Athletic Bilbao?,"Real Betis,2 – 2,Athletic Bilbao
""López 45', 116'"",Report (in Spanish),Carlos 14' Dani 97'
Penalties,Penalties,Penalties
García Soriano Del Pozo López Biosca Cardeñosa Sabaté Alabanda Esnaola Eulate Bizcocho,8 – 7,Guisasola Churruca Escalza Irureta Dani Amorrortu Villar Alexanko Rojo Iribar",The final score of the match between Real Betis and Athletic Bilbao was 2-2.,1
2,"What is the frequency of the radio station with the call sign ""K277DJ""?","Call sign,Frequency (MHz),City of license,ERP W,Height m (ft),Class,FCC info
K248BP,97.5,""Osage Beach, Missouri"",150,180.9 m (594 ft),D,FCC
K277DJ,103.3,""Osage Beach, Missouri"",250,152 m (499 ft),D,FCC","The frequency of the radio station with the call sign ""K277DJ"" is 103.3 MHz.",2
3,"What is the frequency of the radio station with the call sign ""K277DJ""?","Call sign,Frequency (MHz),City of license,ERP W,Height m (ft),Class,FCC info
K248BP,97.5,""Osage Beach, Missouri"",150,180.9 m (594 ft),D,FCC
K277DJ,103.3,""Osage Beach, Missouri"",250,152 m (499 ft),D,FCC","This information can be found in the ""Frequency (MHz)"" column of the table provided.",2
4,How many marathons did Nataliya Lehonkova participate in?,"Year,Competition,Venue,Position,Event,Notes
Representing the Ukraine,Representing the Ukraine,Representing the Ukraine,Representing the Ukraine,Representing the Ukraine,-
2013,Belfast Marathon,United Kingdom,1st,Marathon,2:36:50
2015,Dublin Marathon,Ireland,1st,Marathon,2:31:09
2016,Los Angeles Marathon,United States,1st,Marathon,2:30:40
2017,Dublin Marathon,Ireland,1st,Marathon,2:28:57",Nataliya Lehonkova participated in a total of four marathons according to the provided table.,3
5,How many marathons did Nataliya Lehonkova participate in?,"Year,Competition,Venue,Position,Event,Notes
Representing the Ukraine,Representing the Ukraine,Representing the Ukraine,Representing the Ukraine,Representing the Ukraine,-
2013,Belfast Marathon,United Kingdom,1st,Marathon,2:36:50
2015,Dublin Marathon,Ireland,1st,Marathon,2:31:09
2016,Los Angeles Marathon,United States,1st,Marathon,2:30:40
2017,Dublin Marathon,Ireland,1st,Marathon,2:28:57","The marathons she participated in are as follows: Belfast Marathon in 2013, Dublin Marathon in 2015, Los Angeles Marathon in 2016, and Dublin Marathon again in 2017.",3
6,In which school did Eddie Brown have the highest average yards per reception?,"source,source,source,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Year,School,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD
1989,Louisiana Tech,10,26,327,12.6,3,-,-,-,-
1990,Louisiana Tech,11,50,799,16.0,6,6,59,9.8,1
Career,Louisiana Tech,21,76,""1,126"",14.8,9,6,59,9.8,1",Eddie Brown had the highest average yards per reception during his time at the school of Louisiana Tech.,4
7,In which school did Eddie Brown have the highest average yards per reception?,"source,source,source,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Year,School,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD
1989,Louisiana Tech,10,26,327,12.6,3,-,-,-,-
1990,Louisiana Tech,11,50,799,16.0,6,6,59,9.8,1
Career,Louisiana Tech,21,76,""1,126"",14.8,9,6,59,9.8,1","In 1990, he had 799 receiving yards with an average of 16.0 yards per reception, which was his highest average during his college career.",4
8,Who had the most first place votes in Sam Bradford's sophomore season?,"Finalist,First place votes (3 pts. each),Second place votes (2 pts. each),Third place votes (1 pt. each),Total points
Sam Bradford,300,315,196,""1,726""
Colt McCoy,266,288,230,""1,604""
Tim Tebow,309,207,234,""1,575""","In Sam Bradford's sophomore season, the finalist who had the most first place votes was Tim Tebow.",5
9,Who had the most first place votes in Sam Bradford's sophomore season?,"Finalist,First place votes (3 pts. each),Second place votes (2 pts. each),Third place votes (1 pt. each),Total points
Sam Bradford,300,315,196,""1,726""
Colt McCoy,266,288,230,""1,604""
Tim Tebow,309,207,234,""1,575""","According to the given table, Tim Tebow received a total of 309 first place votes, while Sam Bradford received 300 first place votes and Colt McCoy received 266 first place votes.",5
10,Who had the most first place votes in Sam Bradford's sophomore season?,"Finalist,First place votes (3 pts. each),Second place votes (2 pts. each),Third place votes (1 pt. each),Total points
Sam Bradford,300,315,196,""1,726""
Colt McCoy,266,288,230,""1,604""
Tim Tebow,309,207,234,""1,575""","Therefore, Tim Tebow had the most first place votes with 309 votes.",5
11,What was the overall outcome of the election?,"Party,Party,Candidate,Votes,%,±
-,PAP,Michael Palmer,""16,994"",54.54,N/A
-,WP,Lee Li Lian,""12,777"",41.01,N/A
-,SDA,Desmond Lim Bak Chuan (Loses deposit),""1,387"",4.45,N/A
Turnout,Turnout,Turnout,""31,709"",95.3,N/A
-,PAP win (new seat),PAP win (new seat),PAP win (new seat),PAP win (new seat),PAP win (new seat)",The overall outcome of the election in the Punggol East Single Member Constituency was a victory for the People's Action Party (PAP).,6
12,What was the overall outcome of the election?,"Party,Party,Candidate,Votes,%,±
-,PAP,Michael Palmer,""16,994"",54.54,N/A
-,WP,Lee Li Lian,""12,777"",41.01,N/A
-,SDA,Desmond Lim Bak Chuan (Loses deposit),""1,387"",4.45,N/A
Turnout,Turnout,Turnout,""31,709"",95.3,N/A
-,PAP win (new seat),PAP win (new seat),PAP win (new seat),PAP win (new seat),PAP win (new seat)","Michael Palmer, the PAP candidate, received 16,994 votes, which accounted for 54.54% of the total votes.",6
13,What was the overall outcome of the election?,"Party,Party,Candidate,Votes,%,±
-,PAP,Michael Palmer,""16,994"",54.54,N/A
-,WP,Lee Li Lian,""12,777"",41.01,N/A
-,SDA,Desmond Lim Bak Chuan (Loses deposit),""1,387"",4.45,N/A
Turnout,Turnout,Turnout,""31,709"",95.3,N/A
-,PAP win (new seat),PAP win (new seat),PAP win (new seat),PAP win (new seat),PAP win (new seat)",This resulted in a win for the PAP in the new seat.,6
14,What was the overall outcome of the election?,"Party,Party,Candidate,Votes,%,±
-,PAP,Michael Palmer,""16,994"",54.54,N/A
-,WP,Lee Li Lian,""12,777"",41.01,N/A
-,SDA,Desmond Lim Bak Chuan (Loses deposit),""1,387"",4.45,N/A
Turnout,Turnout,Turnout,""31,709"",95.3,N/A
-,PAP win (new seat),PAP win (new seat),PAP win (new seat),PAP win (new seat),PAP win (new seat)","The Worker's Party (WP) candidate, Lee Li Lian, received 12,777 votes, representing 41.01% of the total votes.",6
15,What was the overall outcome of the election?,"Party,Party,Candidate,Votes,%,±
-,PAP,Michael Palmer,""16,994"",54.54,N/A
-,WP,Lee Li Lian,""12,777"",41.01,N/A
-,SDA,Desmond Lim Bak Chuan (Loses deposit),""1,387"",4.45,N/A
Turnout,Turnout,Turnout,""31,709"",95.3,N/A
-,PAP win (new seat),PAP win (new seat),PAP win (new seat),PAP win (new seat),PAP win (new seat)","The Singapore Democratic Alliance (SDA) candidate, Desmond Lim Bak Chuan, received 1,387 votes, which accounted for 4.45% of the total votes.",6
16,What was the overall outcome of the election?,"Party,Party,Candidate,Votes,%,±
-,PAP,Michael Palmer,""16,994"",54.54,N/A
-,WP,Lee Li Lian,""12,777"",41.01,N/A
-,SDA,Desmond Lim Bak Chuan (Loses deposit),""1,387"",4.45,N/A
Turnout,Turnout,Turnout,""31,709"",95.3,N/A
-,PAP win (new seat),PAP win (new seat),PAP win (new seat),PAP win (new seat),PAP win (new seat)","The voter turnout was 95.3%, with a total of 31,709 votes cast.",6
17,What was the overall outcome of the election?,"Party,Party,Candidate,Votes,%,±
-,PAP,Michael Palmer,""16,994"",54.54,N/A
-,WP,Lee Li Lian,""12,777"",41.01,N/A
-,SDA,Desmond Lim Bak Chuan (Loses deposit),""1,387"",4.45,N/A
Turnout,Turnout,Turnout,""31,709"",95.3,N/A
-,PAP win (new seat),PAP win (new seat),PAP win (new seat),PAP win (new seat),PAP win (new seat)","Therefore, the overall outcome of the election was a victory for the People's Action Party in the Punggol East Single Member Constituency.",6
18,How many exposures were taken for the observation using the F850LP filter?,"Camera,Filter,Wavelength,Total exposure time,Exposures
ACS,F435W,435 nm,""134,880 s (56 orbits)"",112
ACS,F606W,606 nm,""135,320 s (56 orbits)"",112
ACS,F775W,775 nm,""347,110 s (144 orbits)"",288
ACS,F850LP,850 nm,""346,620 s (144 orbits)"",288","According to the table, in the observation using the F850LP filter, a total of 288 exposures were taken.",7
19,What was the venue for the final of the Eurovision Song Contest 2009 in Norway?,"Date,Location,Venue,Notes
24 January,Kongsvinger,Kongsvinger Hall,Semifinal 1
31 January,Bodø,Bodø Spektrum,Semifinal 2
7 February,Skien,Skien Fritidspark,Semifinal 3
14 February,Ålesund,Sunnmørshallen,Second Chance
21 February,Oslo,Oslo Spektrum,Final","The venue for the final of the Eurovision Song Contest 2009 in Norway was Oslo Spektrum, as indicated in the table provided.",8
20,What was the total number of seats contested in the 1929 Egyptian parliamentary election?,"Party,Votes,%,Seats,+/–
Wafd Party,-,-,198,+48
Other parties and independents,-,-,38,–27
Invalid/blank votes,-,–,–,–
Total,-,-,236,+21
Source: Sternberger et al.,Source: Sternberger et al.,Source: Sternberger et al.,Source: Sternberger et al.,Source: Sternberger et al.",The total number of seats contested in the 1929 Egyptian parliamentary election was 236.,9
21,What was the venue for the FFA Cup 2018 final?,"Season,Champion,Score,Runner-up,Venue,Attendance
2014,Adelaide United,1–0,Perth Glory,Coopers Stadium,""16,142""
2015,Melbourne Victory,2–0,Perth Glory,AAMI Park,""15,098""
2016,Melbourne City,1–0,Sydney FC,AAMI Park,""18,751""
2017,Sydney FC,2–1 (a.e.t.),Adelaide United,Allianz Stadium,""13,452""
2018,Adelaide United,2–1,Sydney FC,Coopers Stadium,""14,448""",The venue for the FFA Cup 2018 final was Coopers Stadium.,10
22,Find the date of the 2nd European Athletics Indoor Cup.,"-,Year,City,Country,Date,Venue,Winner,Winner
-,Year,City,Country,Date,Venue,Men,Women
1st,2003,Leipzig,Germany,15 February 2003,Leipzig Arena,Spain,Russia
2nd,2004,Leipzig,Germany,14 February 2004,Leipzig Arena,France,Russia
3rd,2006,Liévin,France,5 March 2006,Stade Couvert Régional,France,Russia
4th,2008,Moscow,Russia,16 February 2008,CSKA Arena,Russia,Russia","The 2nd European Athletics Indoor Cup took place in Leipzig, Germany on 14 February 2004, at the Leipzig Arena.",11
23,"What was the percentage of votes won by the Republican candidate, George A. Halsey?","Party,Party,Candidate,Votes,%,±
-,Democratic,Joseph D. Bedle,""97,283"",53.65%,-
-,Republican,George A. Halsey,""84,050"",46.35%,-
Majority,Majority,Majority,-,-,-
Turnout,Turnout,Turnout,-,-,-
-,Democratic hold,Democratic hold,Swing,-,-","The percentage of votes won by the Republican candidate, George A. Halsey, in the 1874 New Jersey gubernatorial election is 46.35%.",12
24,What is the weight of the Type 63A-II model?,"-,Type 63,Type 63-I,Type 63-II,Type 63A,Type 63A-I,Type 63A-II
Weight (tonnes),18.4,19.83,Unknown,22,Unknown,Unknown
Length,8.44 m (overall) 7.15 m (hull only),8.44 m (overall) 7.15 m (hull only),8.44 m (overall) 7.15 m (hull only),9.6 m (overall),9.6 m (overall),9.6 m (overall)
Main gun,85 mm Type 62-85TC rifled (47 rounds),85 mm Type 62-85TC rifled (47 rounds),85 mm Type 62-85TC rifled (47 rounds),105 mm low recoil rifled (45 rounds),105 mm low recoil rifled (45 rounds),105 mm low recoil rifled (45 rounds)
Engine,""6-cylinder 4-stroke in-line water-cooled diesel 241 hp (180 kW) at 1,800 rpm"",""12150L-2 12-cylinder 4-stroke in-line water-cooled diesel 402 hp (300 kW) at 2,000 rpm"",""12150L-2 12-cylinder 4-stroke in-line water-cooled diesel 402 hp (300 kW) at 2,000 rpm"",Diesel 581 hp (433 kW),Diesel 581 hp (433 kW),Diesel 581 hp (433 kW)","The weight of the Type 63A-II model is unknown, according to the provided table.",13
25,Which nation won the most gold medals in the 2011/2012 ISTAF SuperSeries (Men) events?,"Edition,ISTAF SuperSeries (Men),ISTAF SuperSeries (Men),ISTAF SuperSeries (Men),ISTAF SuperSeries (Men),ISTAF SuperSeries (Women),ISTAF SuperSeries (Women),ISTAF SuperSeries (Women),ISTAF SuperSeries (Women)
Edition,Participating Nations (Men),Gold (Men),Silver (Men),Bronze (Men),Participating Nations (Women),Gold (Women),Silver (Women),Bronze (Women)
ISS Thailand,12,Thailand,Indonesia,South Korea,8,Thailand,South Korea,Vietnam
ISS Indonesia,9,Thailand,Malaysia,Indonesia,6,Thailand,South Korea,Vietnam
ISS Singapore,10,Thailand,Indonesia,South Korea,6,Thailand,Vietnam,Indonesia
ISS Finals Thailand,12,Thailand,Malaysia,South Korea,7,Thailand,Vietnam,Malaysia","To determine which nation won the most gold medals in the 2011/2012 ISTAF SuperSeries (Men) events, we need to review the ""Gold (Men)"" column in the table provided.",14
26,Which nation won the most gold medals in the 2011/2012 ISTAF SuperSeries (Men) events?,"Edition,ISTAF SuperSeries (Men),ISTAF SuperSeries (Men),ISTAF SuperSeries (Men),ISTAF SuperSeries (Men),ISTAF SuperSeries (Women),ISTAF SuperSeries (Women),ISTAF SuperSeries (Women),ISTAF SuperSeries (Women)
Edition,Participating Nations (Men),Gold (Men),Silver (Men),Bronze (Men),Participating Nations (Women),Gold (Women),Silver (Women),Bronze (Women)
ISS Thailand,12,Thailand,Indonesia,South Korea,8,Thailand,South Korea,Vietnam
ISS Indonesia,9,Thailand,Malaysia,Indonesia,6,Thailand,South Korea,Vietnam
ISS Singapore,10,Thailand,Indonesia,South Korea,6,Thailand,Vietnam,Indonesia
ISS Finals Thailand,12,Thailand,Malaysia,South Korea,7,Thailand,Vietnam,Malaysia","According to the table, the gold medalists for each event are as follows:
- ISS Thailand: Thailand
- ISS Indonesia: Thailand
- ISS Singapore: Thailand
- ISS Finals Thailand: Thailand

Therefore, Thailand won the gold medal in three out of the four events in the 2011/2012 ISTAF SuperSeries (Men) season.",14
